val_loss,val_acc,epoch,step,test_loss,test_acc
0.4268238842487335,0.8855999708175659,0,214,,
0.3019075095653534,0.9125999808311462,1,429,,
0.25196394324302673,0.9265999794006348,2,644,,
,,2,645,0.24822238087654114,0.9271000027656555
